chunk_id	layer	section	para	seq	class	raw_text	book	chapter	verses	target	confidence	resolution	carried_from	divergence_id	pair_confidence	witness_target	divergence_class	divergence_why
ddc-1-01	la	la	{¶3}	0	BOOK CH V	Matt. xi. 27.	Matt	11	27	Matt 11:27	high	book-named				Matt 11:27		
ddc-1-01	la	la	{¶3}	1	BOOK CH V	Joan. i. 4.	John	1	4	John 1:4	high	book-named				John 1:4		
ddc-1-01	la	la	{¶3}	2	— — V	et v. 9.	John	1	9	John 1:9	cross-layer	et-v-settled-by-english-layer	ddc-1-01:la:{¶3}:1			John 1:9		
ddc-1-01	la	la	{¶3}	3	BOOK CH V	1 Pet. iii. 19.	1Pet	3	19	1Pet 3:19	high	book-named				1Pet 3:19		
ddc-1-01	la	la	{¶3}	4	BOOK CH V	Gal. iii. 24.	Gal	3	24	Gal 3:24	high	book-named				Gal 3:24		
ddc-1-01	la	la	{¶3}	5	BOOK CH V	Heb. xiii. 8.	Heb	13	8	Heb 13:8	high	book-named				Heb 13:8		
ddc-1-01	la	la	{¶3}	6	BOOK CH V	Col. ii. 17.	Col	2	17	Col 2:17	high	book-named				Col 2:17		
ddc-1-01	la	la	{¶3}	7	BOOK CH V-LIST	1 Pet. i. 10, 11.	1Pet	1	10,11	1Pet 1:10,11	high	book-named				1Pet 1:10,11		
ddc-1-01	la	la	{¶3}	8	BOOK CH V	Rom. i. 1.	Rom	1	1	Rom 1:1	high	book-named				Rom 1:1		
ddc-1-01	la	la	{¶3}	9	BOOK CH V	1 Cor. iv. 1.	1Cor	4	1	1Cor 4:1	high	book-named				1Cor 4:1		
ddc-1-01	la	la	{¶4}	0	BOOK CH V	Isa. li. 4.	Isa	51	4	Isa 51:4	high	book-named				Isa 51:4		
ddc-1-01	la	la	{¶4}	1	BOOK CH V	Mat. xvi. 17.	Matt	16	17	Matt 16:17	high	book-named				Matt 16:17		
ddc-1-01	la	la	{¶4}	2	BOOK CH V-LIST	Joan. vi. 45, 46.	John	6	45,46	John 6:45,46	high	book-named		d1	plausible	John 6:46	unchecked	no J–T division read for this chapter
ddc-1-01	la	la	{¶4}	3	— CH V	et ix. 29.	John	9	29	John 9:29	carried	book-carried	ddc-1-01:la:{¶4}:2			John 9:29		
ddc-1-01	la	la	{¶4}	4	BOOK CH V-LIST	Gal. i. 11, 12.	Gal	1	11,12	Gal 1:11,12	high	book-named				Gal 1:11,12		
ddc-1-01	la	la	{¶4}	5	BOOK CH V	1 Thess. iv. 9.	1Thess	4	9	1Thess 4:9	high	book-named				1Thess 4:9		
ddc-1-01	la	la	{¶5}	0	BOOK CH V	2 Tim. i. 14.	2Tim	1	14	2Tim 1:14	high	book-named				2Tim 1:14		
ddc-1-01	la	la	{¶5}	1	BOOK CH V	Col. ii. 8.	Col	2	8	Col 2:8	high	book-named				Col 2:8		
ddc-1-01	la	la	{¶5}	2	BOOK CH V	Dan. iii. 16.	Dan	3	16	Dan 3:16	high	book-named				Dan 3:16		
ddc-1-01	la	la	{¶5}	3	BOOK CH V	Act. iv. 19.	Acts	4	19	Acts 4:19	high	book-named				Acts 4:19		
ddc-1-01	la	la	{¶6}	0	BOOK CH V	Mat. xiii. 52.	Matt	13	52	Matt 13:52	high	book-named				Matt 13:52		
ddc-1-01	la	la	{¶6}	1	— CH V-LIST	cap. vi. 1, 2, 3.	Matt	6	1,2,3	Matt 6:1,2,3	carried	book-carried	ddc-1-01:la:{¶6}:0			Matt 6:1,2,3		
ddc-1-01	la	la	{¶6}	2	BOOK CH V	Rom. vi. 17.	Rom	6	17	Rom 6:17	high	book-named				Rom 6:17		
ddc-1-01	la	la	{¶6}	3	BOOK CH V	2 Tim. i. 13.	2Tim	1	13	2Tim 1:13	high	book-named				2Tim 1:13		
ddc-1-01	la	la	{¶6}	4	BOOK CH V	Rom. ii. 20.	Rom	2	20	Rom 2:20	high	book-named				Rom 2:20		
ddc-1-01	la	la	{¶6}	5	BOOK CH V	Act. xx. 27.	Acts	20	27	Acts 20:27	high	book-named				Acts 20:27		
ddc-1-01	la	la	{¶7}	0	BOOK CH V	Gen. xvii. 1.	Gen	17	1	Gen 17:1	high	book-named				Gen 17:1		
ddc-1-01	la	la	{¶7}	1	BOOK CH V	Psal. xxxvii. 3.	Ps	37	3	Ps 37:3	high	book-named				Ps 37:3		
ddc-1-01	la	la	{¶7}	2	BOOK CH V	Luc. xi. 28.	Luke	11	28	Luke 11:28	high	book-named				Luke 11:28		
ddc-1-01	la	la	{¶7}	3	BOOK CH V	Act. xxiv. 14.	Acts	24	14	Acts 24:14	high	book-named				Acts 24:14		
ddc-1-01	la	la	{¶7}	5	BOOK CH V	2 Tim. i. 13.	2Tim	1	13	2Tim 1:13	high	book-named				2Tim 1:13		
ddc-1-01	la	la	{¶7}	6	BOOK CH V	1 Tim. i. 19.	1Tim	1	19	1Tim 1:19	high	book-named				1Tim 1:19		
ddc-1-01	la	la	{¶7}	7	BOOK CH V	Tit. iii. 8.	Titus	3	8	Titus 3:8	high	book-named				Titus 3:8		
ddc-1-01	la	la	{¶7}	8	BOOK CH V	1 Joan. iii. 23.	1John	3	23	1John 3:23	high	book-named				1John 3:23		
ddc-1-01	la	la	{¶8}	0	BOOK CH V	Rom. ii. 13.	Rom	2	13	Rom 2:13	high	book-named				Rom 2:13		
