date	chunk	section	locus	was	now	evidence	authority
2026-09-25	ddc-1-09	la	{¶1}, La 154	DICTUM est de PROVIDENTIA COMMUNI. SPECIALIS est,	Dictum est de **PROVIDENTIA COMMUNI**. **SPECIALIS** est,	La 154 at 400 dpi: display capital + two small-caps runs (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-1-09	en-sumner	{¶1}, En 217	THE GENERAL GOVERNMENT OF PROVIDENCE … The SPECIAL GOVERNMENT	The **GENERAL GOVERNMENT OF PROVIDENCE** … The **SPECIAL GOVERNMENT**	En 217 at 400 dpi: display capital + two small-caps runs (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-1-03	en-sumner	{¶1}, En 30	**H**ITHERTO I have	Hitherto I have	En 30 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-1-07	en-sumner	{¶1}, En 172	**T**HE second	The second	En 172 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-1-08	en-sumner	{¶1}, En 199	**T**HE remaining	The remaining	En 199 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-2-10	la	{¶1}, La 474	**DICTÆ** sunt	Dictæ sunt	La 474 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-2-10	en-sumner	{¶1}, En 636	**THE** virtues which regulate	The virtues which regulate	En 636 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-2-13	la	{¶1}, La 492	**BONUM** proximi	Bonum proximi	La 492 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-2-13	en-sumner	{¶1}, En 655	**THE** external	The external	En 655 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-2-14	en-sumner	{¶1}, En 672	**THE** virtues by which	The virtues by which	En 672 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
2026-09-25	ddc-2-12	en-sumner	{¶1}, En 650	or various modes of charity or justice as regards our neighbour,	or **VARIOUS MODES OF CHARITY OR JUSTICE AS REGARDS OUR NEIGHBOUR**,	En 650 plate, opening audit (CONVENTIONS §2)	Wilson, 2026-09-25
