printed	pdf	n_lines	body_pitch	pitches_after_last_gap	flag
387	403	26	34	-	.
388	404	32	33	34,33,33,34,34,33,33,33	.
389	405	33	33	29,33,33,35,31,34,33	.
390	406	32	33	-	.
391	407	32	33	32,33,33,33,33,32,34,32	.
392	408	34	33	34,33,33,34,34,33,33,34	.
393	409	32	33	34,33,33	.
394	410	11	34	-	.
395	411	23	47	33,32,36,38	.
396	412	32	33	-	.
397	413	33	33	34,33,33,33,35	.
398	414	32	33	32	.
399	415	31	33	33,33,32,33,33,34,32,33	.
400	416	34	33	33,33,33,33,33,33,33,33	.
401	417	32	34	10	.
402	418	32	33	-	.
403	419	7	-	-	TOO_FEW_LINES
404	420	20	50	37	.
405	421	31	33	34,32,34,32,33,33,33,33	.
406	422	31	33	35	.
407	423	31	34	33,35,33,34	.
408	424	33	33	33,34,33,33,33,34,34,33	.
409	425	30	34	-	.
410	426	34	33	34,33,33,33,33,33	.
411	427	35	33	33,33,34,32,34,34,31,37	.
412	428	11	36	34,32,34,33,33	.
413	429	25	34	33,34,32,34,33,33,33,37	.
414	430	34	33	33,34,32,33,34,33,33,34	.
415	431	30	34	33,32,32,32	.
416	432	30	34	33,34,33	.
417	433	35	33	34,34,39,10	.
418	434	32	34	34,34,31,35,33,33,34	.
419	435	35	34	34,34,32,34,32,32,33,33	.
420	436	34	33	33,33,33,33,34,33,33,34	.
421	437	32	33	33,35,30,34,31	.
422	438	30	34	33	.
423	439	31	33	33,33,33,33,34,31,34	.
424	440	32	34	33,34	.
425	441	29	34	-	.
426	442	32	33	31	.
427	443	31	34	-	.
428	444	9	33	33,33,33,34,33	.
429	445	27	34	34,32	.
430	446	33	33	34	.
431	447	33	33	26,28	CANDIDATE
432	448	31	34	33,34	.
433	449	32	34	-	.
434	450	32	33	34,33,34,33,33,33,33,33	.
435	451	35	33	33,32,35,32,35,32,32,34	.
436	452	30	34	33	.
437	453	32	33	32,35,33,32,33,33,34,33	.
438	454	32	33	33,33,32,34,33,32,33	.
439	455	20	33	31,36	.
440	456	22	34	33,33	.
441	457	31	33	-	.
442	458	34	33	-	.
443	459	32	33	-	.
444	460	29	34	33	.
445	461	8	33	34,33,33,33,34,32	.
446	462	19	52	33,33	.
447	463	33	33	33,33,33,34,32,33,33,33	.
448	464	31	34	35,33,32,33,34,39	.
449	465	33	33	32,34	.
450	466	32	34	33	.
451	467	35	33	32,33,33,39	.
452	468	32	33	33,33,33,33,33,33,32,33	.
453	469	34	33	33,32,33,34,33,33,33,32	.
454	470	36	37	26,26,26,26,26,27,25,26	CANDIDATE
455	471	28	34	33,34,32,33,33,33	.
456	472	28	37	34	.
457	473	29	39	-	.
458	474	31	33	39	.
459	475	35	33	33,34,32,33,33,34,33,33	.
460	476	32	33	34,33,33,33,33,33,33,34	.
461	477	20	33	34,32,33,33,33,33,33,32	.
462	478	24	37	32,34,33,33	.
463	479	32	33	33,33,33,32,33	.
464	480	32	33	33,33,33,34,33,33,33,33	.
465	481	32	33	32,32,33,34,32,32,31,36	.
466	482	34	33	32,34,32,34,33,33,33,33	.
467	483	34	33	-	.
468	484	31	33	33,33,33,33,33,32,33,33	.
469	485	30	33	33,35,31	.
470	486	31	33	33,32,33,33,39	.
471	487	31	33	33,33,32,32,34,31,32,33	.
472	488	34	33	33,33,33,32,33,33,33,33	.
473	489	32	34	-	.
